No. overall [n 2],No. in season,Title [n 3],Directed by,Written by,Original release date [n 4],Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
823,41,"""The Emperor Rolls Over! Rescue Brook Mission!"" Transliteration: ""Yonko no Negaeri – Burukku Kyūshutsu Dai Sakusen!"" (Japanese: 四皇の寝返り　ブルック救出大作戦！)",Hiroyuki Satō,Atsuhiro Tomioka,"January 28, 2018",,,,,,,
824,42,"""The Rendezvous! Luffy, a One-on-One at His Limit!"" Transliteration: ""Yakusoku no Basho – Rufi Genkai no Ikkiuchi"" (Japanese: 約束の場所 ルフィ限界の一騎打ち)",Aya Komaki,Shōji Yonemura,"February 4, 2018",,,,,,,
825,43,"""A Liar! Luffy and Sanji!!"" Transliteration: ""Usotsuki – Rufi to Sanji"" (Japanese: ウソつき ルフィとサンジ)",Satoshi Itō,Shōji Yonemura,"February 11, 2018",,,,,,,
826,44,"""Sanji Comes Back! Crash! The Tea Party from Hell!"" Transliteration: ""Sanji Fukkatsu Kowase! Jigoku no Ochakai"" (Japanese: サンジ復活　壊せ！地獄のお茶会)",Katsumi Tokoro,Tomohiro Nakayama,"February 18, 2018",,,,,,,
827,45,"""A Secret Meeting! Luffy vs. the Fire Tank Pirates!"" Transliteration: ""Mikkai! Rufi VS Faiatanku Kaizoku-dan"" (Japanese: 密会！ルフィVSファイアタンク海賊団)",Yoshihiro Ueda,Kisa Miura,"March 4, 2018",,,,,,,
828,46,"""The Deadly Pact! Luffy & Bege's Allied Forces!"" Transliteration: ""Shi no kyōtei Rufi & Bejji rengō-gun"" (Japanese: 死の協定 ルフィ&ベッジ連合軍)",Masahiro Hosoda,Hitoshi Tanaka,"March 18, 2018",,,,,,,
829,47,"""Luffy Engages in a Secret Maneuver! The Wedding Full of Conspiracies Starts Soon!"" Transliteration: ""Rufi Anyaku Kaien Chokuzen! Inbō no Kekkonshiki"" (Japanese: ルフィ暗躍　開演直前！陰謀の結婚式)",Yasunori Koyama,Shōji Yonemura,"March 25, 2018",,,,,,,
830,48,"""The Family Gets Together! The Hellish Tea Party Starts!"" Transliteration: ""Famirī Shūketsu Kaien! Jigoku no Ochakai"" (Japanese: 家族集結　開演！地獄のお茶会)",Aya Komaki,Tomohiro Nakayama,"April 1, 2018",,,,,,,
831,49,"""The Broken Couple! Sanji and Pudding Enter!"" Transliteration: ""Kamen Fūfu Sanji ♡ Purin Nyūjō!"" (Japanese: 仮面夫婦　サンジ♡プリン入場！)",Yusuke Suzuki,Kisa Miura,"April 8, 2018",,,,,,,
832,50,"""A Deadly Kiss! The Mission to Assassinate the Emperor Kicks Off!"" Transliteration: ""Shi no Kisu – Yonkō Ansatsu Sakusen Kaishi!"" (Japanese: 死のキス 四皇暗殺作戦開始!)",Yoshihiro Ueda,Hitoshi Tanaka,"April 15, 2018",,,,,,,
833,51,"""Returning the Sake Cup! The Manly Jimbei Pays His Debt!"" Transliteration: ""Sakazuki Henjō! Otoko Jinbei no Otoshimae"" (Japanese: 盃返上! 侠客(おとこ)ジンベエの落とし前)",Hiroyuki Satō,Tomohiro Nakayama,"April 22, 2018",,,,,,,
834,52,"""The Mission Failed?! The Big Mom Pirates Strike Back!"" Transliteration: ""Sakusen Shippai!? Hangeki no Biggu Mamu Kaizoku-dan"" (Japanese: 作戦失敗!? 反撃のビッグ・マム海賊団)",Satoshi Itō,Shōji Yonemura,"April 29, 2018",,,,,,,
835,53,"""Run, Sanji! SOS! Germa 66!"" Transliteration: ""Hashire Sanji – SOS! Jeruma Daburu Shikkusu"" (Japanese: 走れサンジ SOS!ジェルマ66(ダブルシックス))",Katsumi Tokoro,Kisa Miura,"May 6, 2018",,,,,,,
836,54,"""Mom's Secret! The Giant's Island Elbaph and a Little Monster!"" Transliteration: ""Mamu no Himitsu – Erubafu no Shima to Chīsana Kaibutsu"" (Japanese: マムの秘密 巨人の島と小さな怪物)",Yutaka Nakashima,Atsuhiro Tomioka,"May 13, 2018",,,,,,,
837,55,"""The Birth of Mom! The Day That Carmel Vanished!"" Transliteration: ""Mamu Tanjō – Karumeru Ga Kieta Hi"" (Japanese: マム誕生 カルメルが消えた日)",Masahiro Hosoda,Hitoshi Tanaka,"May 20, 2018",,,,,,,
838,56,"""The Launcher Blasts! The Moment of Big Mom's Assassination!"" Transliteration: ""Heiki Sakuretsu! Biggu Mamu Ansatsu no Shunkan"" (Japanese: 兵器炸裂! ビッグ·マム暗殺の瞬間)",Yoshihiro Ueda,Tomohiro Nakayama,"May 27, 2018",,,,,,,
839,57,"""The Evil Army! Transform! Germa 66!"" Transliteration: ""Aku no Gundan – Henshin! Jeruma 66"" (Japanese: 悪の軍団 変身!ジェルマ66(ダブルシックス))",Aya Komaki,Shōji Yonemura,"June 3, 2018",,,,,,,
840,58,"""Cutting the Father-Son Relationship! Sanji and Judge!"" Transliteration: ""Oyako no Ketsubetsu – Sanji to Jajji"" (Japanese: 父子の訣別 サンジとジャッジ)",Yutaka Nakashima,Atsuhiro Tomioka,"June 10, 2018",,,,,,,
841,59,"""Escape From the Tea Party! Luffy vs. Big Mom!"" Transliteration: ""Chakai Dasshutsu! Rufi VS Biggu Mamu"" (Japanese: 茶会脱出!ルフィVSビガ·マム)",Kōhei Kureta,Kisa Miura,"June 17, 2018",,,,,,,
842,60,"""The Execution Begins! Luffy's Allied Forces Are Annihilated?!"" Transliteration: ""Shokei Kaishi! Rufi Rengō Gun Zenmetsu!?"" (Japanese: 処刑開始!ルフィ連合軍全滅!?)",Yusuke Suzuki,Hitoshi Tanaka,"June 24, 2018",,,,,,,
843,61,"""The Chateau Collapses! The Straw Hat's Great Escape Begins!"" Transliteration: ""Ōki Hōkai – Mugiwara Ichimi Dai Dassō Sutāto!"" (Japanese: 巨城崩壞麦わら一味大脱走開始)",Takahiro Imamura,Tomohiro Nakayama,"July 1, 2018",,,,,,,
844,62,"""The Spear of Elbaph! Onslaught! The Flying Big Mom!"" Transliteration: ""Erubafu no Yari – Kyōshū! Sora Kakeru Biggu Mamu"" (Japanese: 巨人の槍 強襲! 空翔るビッグ·マム)",Satoshi Itō,Shōji Yonemura,"July 8, 2018",,,,,,,
